day,count_people,count_rock,count_paper,count_scissors
85,6665509,0.3343749142038515,0.33311784591394294,0.33250723988220554
86,6666854,0.33340748124977687,0.33400326450826734,0.3325892542419558
87,6668039,0.3328665294249179,0.3338231824978828,0.3333102880771993
88,6667151,0.33309340076443444,0.33337568025682934,0.3335309189787362
89,6667799,0.3334637111886546,0.3328270693222756,0.3337092194890698
90,6666495,0.33368899249155665,0.3327796690764787,0.33353133843196464
91,6666864,0.3338353684730932,0.33283639804261794,0.33332823348428886
92,6666301,0.3338760130993185,0.33330193161094884,0.33282205528973263
93,6665981,0.3336313139806429,0.33366266720532206,0.332706018814035
94,6666831,0.3333780322315055,0.3339684176785042,0.33265355008999026
95,6666963,0.3328824533749475,0.3337014169720156,0.3334161296530369
96,6666774,0.33322548506969035,0.33281569166736413,0.33395882326294546
97,6667003,0.3332605370059081,0.3330337484473908,0.3337057145467011
98,6665083,0.333292923734033,0.3333176796147925,0.3333893966511745
99,6666797,0.3335819284732984,0.33305963868406374,0.33335843284263794
100,6666797,0.33367957656427816,0.33332108357281615,0.3329993398629057
101,6666466,0.33348358785599447,0.3333103326410125,0.333206079502993
102,6666561,0.33333528336424134,0.33347343555395353,0.3331912810818051
103,6667076,0.33326033781525816,0.3335597194332268,0.3331799427515151
104,6666311,0.333431938593924,0.33337448552880294,0.33319357587727305
105,6666904,0.3330200944846363,0.33326758567395,0.33371231984141364
106,6666071,0.33309066165061846,0.3331017626424921,0.3338075757068894
107,6667606,0.3330744198142482,0.33334603154415543,0.3335795486415964
108,6665930,0.3334025409807784,0.3331014577110771,0.33349600130814455
109,6666560,0.3334937358997744,0.3334448351173619,0.3330614289828637
110,6666193,0.3330871158395804,0.3334370907052946,0.333475793455125
111,6667344,0.33355141117662446,0.33269034866057606,0.3337582401627995
112,6666222,0.3338747194437869,0.3328920038966599,0.3332332766595532
113,6665872,0.3340211153169458,0.33288743018167766,0.33309145450137656
114,6667418,0.3336937927095616,0.33349536507235633,0.33281084221808205
115,6666320,0.333886462096029,0.3336983523143203,0.33241518558965066
116,6666526,0.33354553781084784,0.33387509476449956,0.33257936742465266
117,6665979,0.33341029127154465,0.3339198938370493,0.33266981489140607
118,6666992,0.3328625563072522,0.33430053613383665,0.3328369075589111
119,6667113,0.33261158165460825,0.33388694626894727,0.3335014720764445
120,6667255,0.33300886196793134,0.33297241518436,0.33401872284770867
121,6667440,0.33326269152778276,0.3330959108743386,0.33364139759787864
122,6666901,0.33391091303140696,0.3326932558320575,0.33339583113653554
123,6665869,0.33394925702860345,0.3331804150366591,0.33287032793473736
124,6665291,0.333713711824435,0.3333461359751585,0.33294015220040657
125,6665540,0.33356217200706917,0.3335701233508463,0.33286770464208454
126,6666712,0.333174434413846,0.3338779296300785,0.3329476359560755
127,6666420,0.3329074675763003,0.33424341700642923,0.3328491154172704
128,6667254,0.33248290825578264,0.3342911489497775,0.3332259427944398
129,6667128,0.3319933260618365,0.3342529196979569,0.3337537542402066
130,6667305,0.33232377999806517,0.3332055455690118,0.33447067443292305
131,6666674,0.33282953388751274,0.3324071343521522,0.33476333176033507
132,6667399,0.3339336673866376,0.331935736859306,0.3341305957540564
133,6666489,0.33477502175432977,0.33192284574383907,0.33330213250183116
134,6666653,0.33469733612953906,0.3327072820499282,0.3325953818205327
135,6667053,0.3344438689777927,0.3334501765622682,0.33210595445993907
136,6665957,0.3342649825073879,0.3341046154363132,0.3316304020562989
137,6666952,0.3328557037758784,0.3350589594765344,0.3320853367475872
138,6665572,0.332194146278819,0.33483938062629887,0.3329664730948822
139,6667235,0.33205969191126455,0.3342532549100189,0.3336870531787165
140,6665707,0.33205539937474,0.3335148094568213,0.3344297911684387
141,6666996,0.3326745658764457,0.3324225783246308,0.33490285579892354
142,6667500,0.33356940382452194,0.3318168728908886,0.33461372328458944
143,6666490,0.3345921166910923,0.3319797974646328,0.33342808584427486
144,6667337,0.33470064585005976,0.33254836226217455,0.3327509918877657
145,6667138,0.33402188465275506,0.33333988287028105,0.3326382324769639
146,6668018,0.33353629219357234,0.33390251795960957,0.33256118984681804
147,6666447,0.3329409204033273,0.33397265439896245,0.33308642519771026
148,6666356,0.3327993584501038,0.3337819042367374,0.3334187373131588
149,6666160,0.33302200967273515,0.3334349910593205,0.33354299926794434
150,6666103,0.3328730444159054,0.3336397592416439,0.3334871963424508
151,6666008,0.3328911396445969,0.3334833981597382,0.3336254621956649
152,6667255,0.33289862169663526,0.33356411296703065,0.33353726533633404
153,6665930,0.3329076362938105,0.3336269657797187,0.3334653979264709
154,6667025,0.33276626381332003,0.3332166896029338,0.33401704658374615
155,6666320,0.3330821202702541,0.3329183117522111,0.33399956797753483
156,6665735,0.33337793956705447,0.332764653860377,0.3338574065725685
157,6667278,0.3336717023048986,0.3329480186666883,0.3333802790284131
158,6666839,0.33375847234348993,0.3330257412845878,0.3332157863719223
159,6666054,0.33381037717366224,0.3331173134811089,0.3330723093452288
160,6667472,0.33350091308969876,0.33313015787692846,0.3333689290333728
161,6666574,0.33347473529882066,0.3334951355823846,0.33303012911879476
162,6666898,0.3332083376706828,0.33362877308157407,0.3331628892477431
163,6666026,0.3334926986483401,0.3333629361781667,0.33314436517349316
164,6666204,0.3338342180947358,0.33342543972551697,0.3327403421797473
165,6667527,0.33330528695271877,0.3338458171972907,0.33284889584999056
166,6666579,0.33308253003526994,0.3338515901484104,0.3330658798163196
167,6666588,0.3327796768001862,0.3339384404735976,0.33328188272621617
168,6666788,0.33276654364890557,0.33344168136139923,0.3337917749896952
169,6667298,0.33315370034457736,0.3328967746754382,0.33394952497998437
170,6666149,0.33371666309888964,0.33259772621344047,0.3336856106876699
171,6666347,0.3339430125674526,0.33294546473503406,0.3331115226975133
172,6665468,0.3340172062936916,0.33343525165824817,0.33254754204806025
173,6665277,0.33352087242585715,0.3341221977721256,0.33235692980201725
174,6667207,0.3333632809060826,0.33401992768486116,0.3326167914090563
175,6665997,0.3328201317822375,0.3339567959601542,0.3332230722576083
176,6667007,0.3326341190282236,0.3336290182386189,0.33373686273315745
177,6666048,0.33252970875697263,0.3331171632727517,0.33435312797027567
178,6668149,0.3330966359629936,0.33259454760234064,0.33430881643466576
179,6667512,0.3337121852949046,0.33271031233239623,0.3335775023726991
180,6667258,0.33351206747961454,0.3333274338566169,0.3331604986637685
181,6666954,0.33323568754186694,0.33370936712627686,0.3330549453318562
182,6666979,0.3332203386271353,0.33349092595011925,0.33328873542274545
183,6667811,0.33321910294098017,0.3333921732334645,0.33338872382555534
184,6666738,0.3331188356284588,0.33321723457559005,0.33366392979595116
185,6666509,0.33326258166005623,0.33291517344385196,0.3338222448960918
186,6667077,0.3336346647863824,0.3328836610106648,0.3334816742029528
187,6668186,0.3337865800384092,0.3331121837333272,0.3331012362282636
188,6666727,0.3342584749608016,0.33306838573110914,0.3326731393080893
189,6667923,0.33386633288956696,0.3336452745480114,0.33248839256242163
190,6666987,0.33351542458384875,0.3338571081659526,0.33262746725019865
191,6666768,0.33295938901728694,0.334076572036105,0.33296403894660803
192,6666324,0.33272070184407476,0.3342509304978276,0.3330283676580976
193,6666325,0.3321867745721968,0.3338368591390309,0.3339763662887723
194,6666076,0.332647422561639,0.3329978536098298,0.3343547238285312
195,6665570,0.33333023282329943,0.3326221163381376,0.33404765083856297
196,6665224,0.33363229802929356,0.3327080980324142,0.33365960393829225
197,6666827,0.3339192692415747,0.3326207504709512,0.3334599802874741
198,6667589,0.3337536251859555,0.33296578418375816,0.3332805906302863
199,6666917,0.33400010829593346,0.33282385246434,0.33317603923972655
